2020-03-21 14:43:01 INFO  [springAppName_IS_UNDEFINED,,,] main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$77e7bbbb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-21 14:43:03 INFO  [wjr-gateway,,,] main com.geteway.GatewayApp No active profile set, falling back to default profiles: default
2020-03-21 14:43:04 INFO  [wjr-gateway,,,] main org.springframework.data.repository.config.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode!
2020-03-21 14:43:04 INFO  [wjr-gateway,,,] main org.springframework.data.repository.config.RepositoryConfigurationDelegate Bootstrapping Spring Data repositories in DEFAULT mode.
2020-03-21 14:43:04 INFO  [wjr-gateway,,,] main org.springframework.data.repository.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 28ms. Found 0 repository interfaces.
2020-03-21 14:43:06 INFO  [wjr-gateway,,,] main org.springframework.cloud.context.scope.GenericScope BeanFactory id=d0cc91e5-bb88-3153-8cae-8a4f6b25eed3
2020-03-21 14:43:06 INFO  [wjr-gateway,,,] main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$77e7bbbb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-21 14:43:07 INFO  [wjr-gateway,,,] main org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat initialized with port(s): 8301 (http)
2020-03-21 14:43:07 INFO  [wjr-gateway,,,] main org.apache.coyote.http11.Http11NioProtocol Initializing ProtocolHandler ["http-nio-8301"]
2020-03-21 14:43:07 INFO  [wjr-gateway,,,] main org.apache.catalina.core.StandardService Starting service [Tomcat]
2020-03-21 14:43:07 INFO  [wjr-gateway,,,] main org.apache.catalina.core.StandardEngine Starting Servlet engine: [Apache Tomcat/9.0.21]
2020-03-21 14:43:07 INFO  [wjr-gateway,,,] main org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring embedded WebApplicationContext
2020-03-21 14:43:07 INFO  [wjr-gateway,,,] main org.springframework.web.context.ContextLoader Root WebApplicationContext: initialization completed in 3956 ms
2020-03-21 14:43:07 INFO  [wjr-gateway,,,] main com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-03-21 14:43:07 INFO  [wjr-gateway,,,] main com.netflix.config.DynamicPropertyFactory DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@7f642bf
2020-03-21 14:43:16 INFO  [wjr-gateway,,,] main org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration 

Using generated security password: c876fa02-4589-47f6-a155-20d36dcd2695

2020-03-21 14:43:16 INFO  [wjr-gateway,,,] main org.springframework.security.web.DefaultSecurityFilterChain Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@38ebc866, org.springframework.security.web.context.SecurityContextPersistenceFilter@113d0f75, org.springframework.security.web.header.HeaderWriterFilter@210d3a42, org.springframework.security.web.authentication.logout.LogoutFilter@3d718248, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@773f3360, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@aa8dce8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6adcf059, org.springframework.security.web.session.SessionManagementFilter@6aaa678d, org.springframework.security.web.access.ExceptionTranslationFilter@6e668322]
